customer_id,age,income,tenure_days,avg_spend,purchase_frequency,total_transactions,true_propensity,treatment,true_uplift,baseline_spend,outcome
51,60,73900.0,82,18.33,0.732,2,0.4137,0,95,55.64,54.78
52,66,85700.0,114,29.37,0.526,2,0.4953,0,95,63.69,64.39
53,30,64500.0,152,30.0,0.789,4,0.3792,1,95,93.8,173.09
54,50,75700.0,370,16.75,0.892,11,0.5135,1,55,54.24,100.84
55,47,56800.0,760,23.62,0.789,20,0.5186,1,55,79.92,153.54
56,44,65200.0,405,21.72,0.593,8,0.4599,0,55,62.11,51.71
57,50,50700.0,247,8.91,0.607,5,0.3287,0,55,18.05,18.73
58,80,96500.0,85,20.52,1.765,5,0.5525,0,95,139.84,157.26
59,40,94000.0,254,8.96,0.591,5,0.589,0,55,24.91,31.78
60,71,97200.0,1097,26.2,0.711,26,0.8158,1,55,65.15,123.05
61,26,50600.0,412,12.21,0.437,6,0.3749,0,55,11.13,3.11
62,49,43800.0,142,17.24,0.634,3,0.2661,0,95,38.53,32.3
63,58,92400.0,524,36.71,0.802,14,0.6585,1,55,120.24,172.15
64,65,78400.0,53,29.73,0.566,1,0.4319,1,95,60.27,158.64
65,67,74300.0,461,17.31,0.521,8,0.5331,0,55,35.92,48.65
66,68,54300.0,86,13.1,0.349,1,0.3045,1,95,2.21,98.39
67,49,72700.0,5,27.37,5.0,2,0.3836,0,95,552.33,546.63
68,47,40600.0,299,11.07,0.201,2,0.2895,0,55,20.42,19.46
69,70,81300.0,543,27.15,0.718,13,0.6004,0,55,70.7,75.9
70,52,93400.0,553,37.69,0.868,16,0.672,1,55,134.41,192.78
71,33,94900.0,726,27.61,0.785,19,0.725,1,55,85.03,137.54
72,36,76100.0,268,27.34,0.56,5,0.4842,1,55,62.09,105.89
73,39,32800.0,203,20.26,0.887,6,0.2298,0,55,69.92,80.69
74,63,70700.0,442,17.82,0.95,14,0.5051,1,55,65.29,117.67
75,57,110300.0,761,28.0,0.749,19,0.8009,1,35,77.22,114.68
76,67,49200.0,79,12.6,0.38,1,0.2768,0,95,10.41,3.64
77,48,62400.0,610,25.81,0.934,19,0.5064,1,55,105.22,153.2
78,58,95300.0,952,18.87,0.788,25,0.7791,1,55,46.05,106.02
79,66,80200.0,662,25.53,0.725,16,0.629,1,55,73.89,116.22
80,50,116100.0,177,33.07,0.169,1,0.6916,1,75,21.84,85.21
81,63,51200.0,590,15.22,0.712,14,0.4317,1,55,42.97,113.06
82,44,42000.0,187,12.7,0.321,2,0.2684,0,55,21.63,29.89
83,49,89500.0,145,22.58,0.207,1,0.5283,1,95,15.73,114.9
84,49,38700.0,1100,11.34,0.736,27,0.5131,0,55,38.61,27.88
85,35,56900.0,345,19.32,0.609,7,0.3918,0,55,62.95,65.16
86,63,65200.0,691,15.2,0.695,16,0.5486,0,55,41.04,40.3
87,47,85200.0,274,18.56,0.985,9,0.5419,0,55,56.87,52.45
88,55,77900.0,240,24.42,0.875,7,0.4866,1,55,84.33,138.43
89,63,76200.0,441,24.52,0.68,10,0.5386,1,55,64.77,105.46
90,63,58100.0,621,17.25,0.676,14,0.4833,0,55,49.86,29.17
91,66,92700.0,437,15.67,0.686,10,0.6354,0,55,27.05,30.02
92,53,120000.0,279,33.85,0.645,6,0.737,1,35,89.93,126.54
93,48,78100.0,203,19.47,1.034,7,0.4763,1,55,77.16,134.68
94,54,66900.0,173,30.35,0.173,1,0.3994,0,95,27.42,35.12
95,26,31900.0,25,14.12,5.0,5,0.1895,0,95,278.25,283.37
96,30,46600.0,460,17.67,0.848,13,0.3659,0,55,66.88,81.73
97,33,56100.0,378,16.26,0.079,1,0.3969,0,55,0.0,11.79
98,38,50400.0,121,18.78,0.744,3,0.2935,0,95,56.03,56.62
99,62,66100.0,282,37.3,1.064,10,0.4276,1,55,150.97,207.56
100,40,99300.0,530,23.15,0.792,14,0.6971,1,55,69.43,126.68
101,49,90000.0,205,29.88,0.585,4,0.5499,1,55,91.68,131.34
102,77,66100.0,1100,20.37,0.736,27,0.674,0,55,52.37,61.57
103,49,38400.0,74,21.63,0.811,2,0.2258,0,95,67.19,73.04
104,68,95700.0,136,14.7,1.324,6,0.5633,0,95,68.7,52.13
105,39,60800.0,607,28.84,0.544,11,0.4956,0,55,60.3,75.8
106,52,30000.0,592,16.21,0.659,13,0.3113,0,55,41.53,37.25
107,39,76800.0,394,20.18,1.142,15,0.5277,1,55,86.31,140.06
108,49,85300.0,330,27.31,0.727,8,0.5598,0,55,92.03,90.59
109,69,30000.0,87,15.22,2.414,7,0.1942,0,95,156.21,154.49
110,26,41900.0,106,10.55,3.396,12,0.2486,0,95,135.74,159.68
111,62,64100.0,271,7.5,0.554,5,0.4122,0,55,23.15,20.54
112,59,81200.0,129,31.31,0.233,1,0.4723,1,95,25.34,117.1
113,45,52200.0,40,16.72,0.75,1,0.2819,0,95,40.33,40.52
114,30,42500.0,484,13.31,0.93,15,0.3496,1,55,43.77,90.29
115,56,80500.0,1100,19.4,0.845,31,0.7466,1,55,55.52,113.44
116,46,53400.0,220,25.33,1.636,12,0.3359,1,55,173.29,220.08
117,59,77200.0,209,19.13,0.718,5,0.4726,1,55,47.93,107.94
118,55,41700.0,275,19.48,0.873,8,0.2889,0,55,78.33,67.9
119,82,42000.0,80,14.63,0.375,1,0.243,1,95,23.07,112.2
120,51,80100.0,319,15.74,0.094,1,0.5246,0,55,2.69,0.0
121,38,66900.0,408,24.54,0.735,10,0.4712,0,55,68.13,62.81
122,58,85000.0,80,28.27,0.375,1,0.4804,1,95,56.43,133.56
123,59,54600.0,248,14.79,0.968,8,0.3504,1,55,57.35,87.9
124,78,52900.0,668,17.75,0.494,11,0.466,1,55,31.04,82.82
125,69,96400.0,82,24.95,0.366,1,0.551,0,95,43.35,27.99
126,61,34200.0,458,17.36,0.786,12,0.2978,0,55,59.26,76.6
127,80,96300.0,302,34.3,0.894,9,0.6168,1,55,114.75,166.16
128,35,88700.0,50,21.69,0.6,1,0.4938,1,95,52.1,154.18
129,44,80900.0,181,20.48,1.657,10,0.4866,0,55,121.27,124.36
130,39,47400.0,184,16.23,1.467,9,0.2944,0,55,94.97,84.34
131,48,46500.0,103,12.26,0.291,1,0.2696,0,95,16.78,12.58
132,32,56000.0,315,9.79,1.238,13,0.3777,1,55,52.06,114.47
133,66,40000.0,17,16.67,5.0,6,0.2203,1,95,325.4,427.16
134,51,44000.0,1095,19.24,0.74,27,0.544,1,55,51.04,114.71
135,30,73500.0,201,21.04,0.746,5,0.4475,1,55,64.76,113.2
136,38,75200.0,236,20.97,0.763,6,0.4687,1,55,74.0,134.85
137,60,44000.0,143,12.11,0.42,2,0.2673,0,95,21.08,15.03
138,69,82000.0,83,23.56,0.361,1,0.463,0,95,29.56,39.66
139,89,81300.0,580,23.04,0.931,18,0.6114,1,55,93.56,158.36
140,90,103700.0,255,27.93,0.941,8,0.6456,1,35,106.16,127.42
141,62,78400.0,147,23.38,0.408,2,0.4608,1,95,39.59,137.35
142,38,83800.0,1034,24.54,0.667,23,0.7464,1,55,71.85,115.9
143,19,67800.0,493,26.76,0.609,10,0.5032,0,55,64.42,72.7
144,60,86600.0,206,25.85,0.728,5,0.5294,1,55,67.81,111.53
145,41,35200.0,739,17.68,0.853,21,0.3815,0,55,59.09,62.31
146,48,61000.0,489,10.44,0.613,10,0.4602,1,55,34.5,96.88
147,45,62200.0,289,24.6,1.038,10,0.4064,0,55,117.28,117.95
148,53,59500.0,722,17.44,0.789,19,0.5234,0,55,45.29,53.91
149,73,77900.0,265,22.08,0.792,7,0.4943,0,55,83.05,85.98
150,58,78900.0,157,15.47,1.338,7,0.4669,1,95,79.86,190.53
151,52,72600.0,578,31.34,0.882,17,0.5589,0,55,110.73,99.71
152,37,57700.0,182,6.28,0.165,1,0.3491,0,55,17.74,13.9
153,27,43900.0,416,24.03,0.505,7,0.3382,1,55,45.26,81.07
154,47,86400.0,508,25.09,0.709,12,0.6199,1,55,68.96,120.99
155,54,72100.0,1100,11.29,0.791,29,0.7056,0,55,30.58,18.71
156,85,49600.0,832,27.62,0.901,25,0.4967,1,55,99.85,140.98
157,57,61300.0,54,21.76,1.111,2,0.3332,1,95,99.2,178.64
158,72,31800.0,39,2.98,4.615,6,0.1918,0,95,49.51,44.78
159,47,64100.0,667,17.5,0.675,15,0.5345,1,55,58.85,116.39
160,35,56800.0,188,21.19,0.479,3,0.3458,0,55,34.62,39.4
161,39,49700.0,7,26.02,4.286,1,0.2616,0,95,450.07,460.09
162,43,95900.0,442,22.34,0.611,9,0.6549,1,55,54.81,119.25
163,90,47700.0,593,3.92,0.911,18,0.4116,0,55,24.23,12.95
164,41,77000.0,75,28.85,0.4,1,0.4301,0,95,39.73,32.3
165,69,113700.0,332,29.55,0.633,7,0.7194,1,35,79.4,116.33
166,40,84600.0,568,11.53,0.951,18,0.627,1,55,63.23,120.31
167,71,67500.0,88,21.84,0.341,1,0.3778,1,95,18.26,127.06
168,62,42600.0,49,18.63,2.449,4,0.2387,1,95,175.29,267.42
169,52,35800.0,99,13.75,2.727,9,0.2201,0,95,166.66,174.33
170,54,56200.0,471,14.29,0.764,12,0.4255,0,55,42.6,41.17
171,44,48400.0,11,14.21,5.0,4,0.2564,0,95,285.11,288.69
172,63,51500.0,311,16.1,1.447,15,0.3509,1,55,90.53,149.41
173,47,56500.0,199,20.25,0.905,6,0.3472,1,55,86.54,141.32
174,34,58700.0,271,22.75,0.775,7,0.3805,0,55,57.62,47.86
175,33,70800.0,70,9.88,1.714,4,0.3917,0,95,77.63,80.4
176,58,39600.0,175,17.22,1.371,8,0.2541,0,95,82.61,89.05
177,82,56100.0,249,20.85,0.723,6,0.3592,0,55,47.76,48.83
178,58,62200.0,16,20.18,1.875,1,0.3276,0,95,142.65,115.03
179,53,60500.0,34,17.05,5.0,6,0.3234,1,95,339.98,433.21
180,60,104600.0,1100,32.79,0.736,27,0.8421,1,35,90.82,132.6
181,77,74300.0,10,27.87,5.0,4,0.3944,0,95,551.21,541.41
182,59,31900.0,703,12.95,0.768,18,0.3523,1,55,32.36,98.02
183,48,72400.0,388,20.44,1.16,15,0.4988,1,55,87.56,136.43
184,74,80300.0,4,25.9,5.0,1,0.4284,0,95,510.54,507.34
185,62,63800.0,100,25.98,0.3,1,0.3601,1,95,33.05,130.12
186,81,44700.0,991,12.63,0.817,27,0.5161,1,55,36.19,81.97
187,58,102500.0,9,20.14,3.333,1,0.5656,1,75,247.18,331.3
188,34,38300.0,398,17.12,0.754,10,0.3034,0,55,51.34,63.98
189,32,74300.0,388,15.53,1.082,14,0.5105,1,55,73.21,117.21
190,83,74800.0,670,11.5,0.493,11,0.5999,1,55,20.45,73.59
191,84,83400.0,459,18.41,0.85,13,0.5876,0,55,52.51,71.44
192,52,100200.0,524,27.12,0.973,17,0.7002,0,35,111.51,122.51
193,48,75400.0,243,29.08,0.741,6,0.4721,0,55,75.21,59.08
194,80,58300.0,204,15.2,0.294,2,0.3587,0,55,15.31,26.98
195,36,84400.0,386,22.04,0.699,9,0.5715,1,55,61.45,82.24
196,40,48700.0,177,18.08,0.339,2,0.2993,0,95,33.15,39.3
197,66,70600.0,246,17.35,0.732,6,0.4438,1,55,55.42,101.85
198,48,36400.0,332,11.82,0.633,7,0.2768,0,55,31.84,36.44
199,55,43300.0,133,18.17,0.451,2,0.2615,0,95,40.22,42.69
200,52,65500.0,313,13.84,0.863,9,0.4334,0,55,38.51,39.85
201,61,73900.0,104,17.25,2.019,7,0.4203,1,95,151.95,252.81
202,79,34000.0,42,14.09,1.429,2,0.201,0,95,56.02,51.06
203,57,75800.0,144,22.98,1.667,8,0.444,0,95,164.65,158.66
204,66,50000.0,41,9.92,4.39,6,0.2713,0,95,167.47,176.77
205,20,84900.0,70,22.08,0.429,1,0.4767,1,95,40.93,135.99
206,54,57400.0,691,12.16,0.781,18,0.5008,0,55,49.58,43.88
207,41,38600.0,278,12.37,0.647,6,0.2742,0,55,36.5,34.72
208,34,62400.0,16,23.3,1.875,1,0.3287,0,95,177.73,175.08
209,40,42800.0,1100,16.05,0.791,29,0.5382,1,55,57.71,109.25
210,49,90400.0,63,31.91,0.476,1,0.5083,0,95,48.92,53.35
211,71,68200.0,181,19.87,0.994,6,0.4095,0,55,68.36,59.66
212,32,57200.0,54,23.42,0.556,1,0.3112,1,95,54.26,164.46
213,56,77600.0,387,25.61,0.775,10,0.5304,0,55,77.81,80.05
214,47,42300.0,319,16.28,0.282,3,0.3034,0,55,15.86,0.0
215,49,36700.0,405,8.93,0.889,12,0.2969,0,55,41.66,44.41
216,72,77000.0,199,21.02,0.603,4,0.4683,0,55,59.91,50.61
217,64,43700.0,1100,13.89,0.709,26,0.5437,0,55,32.03,31.75
218,78,46500.0,1032,14.12,0.843,29,0.5398,0,55,51.15,49.63
219,52,82000.0,781,23.08,0.73,19,0.6727,1,55,54.88,116.66
220,43,73600.0,38,13.79,0.789,1,0.3987,1,95,30.81,132.48
221,51,37900.0,457,11.32,0.722,11,0.317,0,55,25.55,27.76
222,59,52800.0,1081,12.86,0.805,29,0.5928,1,55,40.99,115.08
223,58,46600.0,612,15.72,0.882,18,0.4108,0,55,50.24,42.99
224,37,98700.0,8,20.96,5.0,3,0.5422,1,95,422.81,531.47
225,57,84400.0,573,19.15,0.681,13,0.6273,1,55,52.04,120.98
226,59,57000.0,174,19.23,1.379,8,0.343,1,95,114.99,213.36
227,90,84100.0,341,20.39,0.528,6,0.5559,1,55,47.43,107.02
228,87,42900.0,93,16.46,0.323,1,0.2501,1,95,12.96,117.47
229,40,47900.0,8,11.61,3.75,1,0.2534,0,95,181.35,178.2
230,50,66200.0,5,15.79,5.0,3,0.3466,1,95,308.9,398.84
231,30,69500.0,266,30.63,0.338,3,0.4432,1,55,44.7,95.16
232,45,61000.0,19,15.66,4.737,3,0.322,1,95,292.79,390.71
233,60,71200.0,156,10.15,0.769,4,0.4199,1,95,41.81,132.12
234,75,70600.0,439,22.3,0.683,10,0.5036,0,55,66.77,59.55
235,43,59200.0,526,15.34,0.913,16,0.4606,1,55,50.48,95.12
236,44,56600.0,1100,19.71,0.682,25,0.6207,0,55,50.68,40.84
237,18,48600.0,654,16.84,1.055,23,0.4355,0,55,97.22,90.82
238,52,69300.0,105,23.14,0.571,2,0.3933,0,95,42.76,36.6
239,37,70000.0,479,20.0,0.752,12,0.5123,0,55,54.4,55.47
240,46,67400.0,354,18.98,1.102,13,0.4575,1,55,78.3,125.53
241,40,37200.0,204,21.32,0.882,6,0.2498,0,55,65.95,70.86
242,53,43600.0,692,5.45,0.91,21,0.417,1,55,11.41,86.08
243,25,67400.0,202,13.48,0.149,1,0.4111,1,55,7.16,74.66
244,30,90900.0,422,19.51,0.64,9,0.6207,1,55,53.76,98.15
245,90,75200.0,106,12.82,1.132,4,0.4287,0,95,45.3,42.31
246,33,52000.0,433,15.4,0.97,14,0.3892,0,55,55.74,43.03
247,36,65900.0,243,16.99,0.988,8,0.4145,0,55,60.71,62.66
248,86,47300.0,195,21.97,1.077,7,0.2968,0,55,85.28,87.81
249,90,99500.0,243,24.48,1.111,9,0.6181,0,55,116.76,118.5
250,35,64900.0,333,18.67,0.901,10,0.4359,1,55,61.17,105.67
251,49,49700.0,865,15.56,0.52,15,0.5076,0,55,21.41,14.91
252,61,62700.0,389,14.15,1.08,14,0.4397,1,55,68.17,132.73
253,84,59700.0,403,23.41,0.596,8,0.4259,0,55,65.82,69.79
254,38,89100.0,43,29.42,1.395,2,0.4941,1,95,166.06,252.38
255,51,60000.0,684,12.94,0.789,18,0.5146,0,55,33.31,20.47
256,68,70900.0,541,28.74,0.776,14,0.5371,0,55,86.99,86.26
257,62,78400.0,16,18.41,1.875,1,0.4206,0,95,132.83,131.61
258,49,48200.0,1100,13.47,0.6,22,0.571,0,55,31.93,19.07
259,53,68700.0,155,22.67,0.194,1,0.4047,0,95,23.32,20.24
260,32,66200.0,24,22.74,3.75,3,0.3519,0,95,340.9,336.05
261,51,31600.0,1100,14.38,0.627,23,0.4695,1,55,36.04,85.16
262,50,69300.0,104,18.66,0.288,1,0.393,1,95,17.39,108.11
263,59,64800.0,329,25.58,0.821,9,0.4341,0,55,89.32,92.07
264,46,65900.0,456,16.77,0.526,8,0.48,0,55,38.23,39.13
265,63,67300.0,136,19.75,0.441,2,0.3908,1,95,20.13,127.69
266,72,73800.0,730,29.54,0.74,18,0.6119,0,55,73.19,75.16
267,58,93700.0,420,17.37,0.786,11,0.6362,1,55,51.96,115.01
268,61,41400.0,396,13.92,0.53,7,0.3192,1,55,37.28,79.04
269,56,58000.0,386,23.83,0.777,10,0.4106,1,55,83.4,139.91
270,55,79000.0,313,24.49,0.863,9,0.516,1,55,90.64,141.92
271,43,72700.0,609,25.38,0.542,11,0.569,0,55,53.82,61.06
272,60,75600.0,79,14.73,1.139,3,0.4229,0,95,78.83,81.37
273,53,120000.0,241,29.61,0.498,4,0.7277,0,35,53.2,68.95
274,90,84900.0,221,21.31,0.814,6,0.5237,1,55,66.66,112.34
275,82,94100.0,249,35.48,0.964,8,0.5881,0,55,125.44,118.33
276,62,60000.0,542,23.05,0.72,13,0.4705,1,55,63.62,122.03
277,42,41500.0,429,16.11,0.909,13,0.3287,0,55,51.68,50.38
278,36,54600.0,272,19.62,0.993,9,0.3573,1,55,90.23,135.8
279,75,84000.0,331,22.87,0.997,11,0.5522,1,55,101.93,160.67
280,59,74300.0,577,24.64,0.832,16,0.5688,1,55,82.51,132.56
281,63,75100.0,983,16.98,0.855,28,0.6905,0,55,61.81,66.31
282,25,54500.0,115,25.0,1.043,4,0.3132,1,95,99.47,177.47
283,71,60400.0,669,12.44,0.538,12,0.5124,0,55,6.48,3.54
284,63,62800.0,184,20.45,0.326,2,0.3787,1,55,20.57,77.14
285,36,76400.0,792,17.34,0.72,19,0.6448,1,55,55.92,112.62
286,47,81100.0,412,22.38,0.728,10,0.5595,1,55,68.68,130.67
287,59,44700.0,119,21.65,1.008,4,0.2648,1,95,84.16,176.71
288,56,81200.0,444,13.62,0.608,9,0.5699,0,55,39.04,43.52
289,50,50300.0,209,16.7,1.579,11,0.3162,0,55,101.71,101.02
290,53,74400.0,147,13.96,0.612,3,0.4364,0,95,25.04,32.37
291,51,60200.0,381,17.63,0.787,10,0.4222,1,55,61.42,101.04
292,58,98500.0,229,17.56,0.524,4,0.6081,1,55,31.91,60.87
293,80,61200.0,54,19.99,0.556,1,0.3327,1,95,52.67,160.21
294,18,61400.0,919,17.08,0.751,23,0.5952,1,55,35.33,84.64
295,51,76900.0,254,25.27,0.709,6,0.4848,1,55,67.11,105.08
296,58,47200.0,99,23.22,0.606,2,0.272,0,95,61.06,59.46
297,60,64500.0,116,19.73,2.069,8,0.3687,1,95,167.24,257.05
298,49,58200.0,237,23.2,0.759,6,0.3677,1,55,68.67,127.36
299,25,48200.0,1100,24.14,0.736,27,0.571,1,55,73.37,133.29
300,61,57000.0,354,13.94,0.932,11,0.3951,1,55,53.09,103.92
301,84,94200.0,12,31.3,2.5,1,0.5158,1,95,301.09,405.38
302,29,47200.0,34,16.9,1.765,2,0.2563,0,95,116.41,104.3
303,70,79900.0,599,17.09,0.551,11,0.6088,0,55,39.49,15.98
304,49,70400.0,127,22.05,0.236,1,0.4064,0,95,24.86,26.34
305,54,35500.0,669,14.96,0.762,17,0.3629,0,55,45.08,42.5
306,37,72300.0,103,13.81,0.583,2,0.4104,1,95,27.79,103.84
307,49,34100.0,595,9.61,0.605,12,0.3341,0,55,12.58,18.67
308,77,82600.0,147,30.58,0.816,4,0.4865,1,95,105.84,183.85
309,65,56300.0,278,19.84,0.863,8,0.3687,0,55,73.63,72.51
310,84,71000.0,276,28.06,0.543,5,0.4554,0,55,68.84,76.51
311,75,41800.0,272,14.19,0.551,5,0.2886,0,55,22.65,25.22
312,62,69000.0,438,16.34,0.822,12,0.4934,0,55,54.7,56.71
313,85,90500.0,23,15.16,1.304,1,0.4965,1,95,73.54,163.79
314,62,49500.0,147,22.26,0.408,2,0.2956,0,95,36.7,38.38
315,69,55000.0,27,20.3,2.222,2,0.2927,1,95,203.68,303.77
316,50,73500.0,950,18.99,0.758,24,0.673,1,55,64.81,113.36
317,56,75300.0,241,17.33,0.622,5,0.4709,0,55,37.07,25.76
318,43,30000.0,555,20.13,0.595,11,0.3015,0,55,45.89,53.77
319,72,110700.0,74,25.72,0.405,1,0.6333,1,75,38.77,132.29
320,35,72100.0,35,19.98,0.857,1,0.389,0,95,69.48,84.43
321,68,82200.0,269,19.33,1.45,13,0.522,0,55,99.92,73.66
322,52,61400.0,267,17.17,0.899,8,0.3951,0,55,64.33,76.85
323,75,30000.0,181,17.25,0.166,1,0.2132,0,55,0.0,0.0
324,68,81800.0,332,15.19,0.904,10,0.5391,0,55,41.55,59.55
325,86,59300.0,113,19.3,0.265,1,0.3386,0,95,36.47,26.09
326,67,78800.0,961,26.6,0.749,24,0.7039,1,55,76.81,120.52
327,28,55000.0,92,17.83,0.326,1,0.3097,0,95,34.66,34.16
328,54,69800.0,423,25.74,1.206,17,0.4937,1,55,117.69,168.67
329,35,44700.0,1042,23.41,0.662,23,0.5319,1,55,45.18,96.66
330,46,81400.0,137,26.73,0.876,4,0.476,0,95,85.26,94.69
331,81,45200.0,424,14.09,0.637,9,0.3477,0,55,57.41,69.77
332,66,114400.0,101,26.98,1.485,5,0.6618,0,75,148.98,139.54
333,43,109600.0,707,28.17,0.806,19,0.7871,1,35,105.03,156.44
334,38,95900.0,65,22.04,2.308,5,0.5427,0,95,206.23,193.93
335,56,92000.0,322,21.28,0.932,10,0.5975,1,55,80.29,129.25
336,34,59000.0,592,16.03,0.659,13,0.4799,1,55,36.27,116.6
337,44,87300.0,197,35.81,2.132,14,0.5309,0,55,298.18,301.87
338,60,64000.0,508,18.24,0.827,14,0.4845,1,55,64.85,113.28
339,75,36400.0,1100,20.8,0.709,26,0.4989,1,55,69.54,127.18
340,65,98600.0,99,20.44,0.909,3,0.5695,0,95,75.89,82.95
341,18,81300.0,619,30.7,0.824,17,0.6228,0,55,107.1,110.48
342,60,65300.0,1100,17.9,0.791,29,0.6697,1,55,53.23,121.04
343,56,39500.0,257,16.19,0.934,8,0.2734,1,55,77.87,124.22
344,62,54100.0,42,8.95,2.857,4,0.292,0,95,104.19,97.65
345,82,32200.0,206,20.41,1.165,8,0.2279,1,55,111.38,157.47
346,20,77800.0,33,28.34,0.909,1,0.4222,0,95,95.32,87.02
347,45,30000.0,663,8.56,1.041,23,0.3305,0,55,35.28,35.71
348,65,73000.0,483,26.82,1.118,18,0.532,1,55,128.51,172.87
349,28,41900.0,173,9.6,1.214,7,0.2645,0,95,47.75,50.66
350,80,40000.0,68,19.16,0.882,2,0.2314,0,95,71.74,78.07
351,61,71200.0,1100,19.24,0.764,28,0.701,0,55,50.98,38.75
352,69,60800.0,152,25.8,0.592,3,0.358,0,95,57.85,51.55
353,45,80600.0,682,23.34,0.704,16,0.6371,0,55,58.72,53.62
354,69,41200.0,522,20.84,0.345,6,0.353,1,55,28.07,80.88
355,73,52700.0,805,24.09,0.932,25,0.5074,0,55,88.3,86.65
356,59,30000.0,332,13.04,1.084,12,0.2464,1,55,52.31,116.36
357,59,30000.0,515,14.36,0.466,8,0.2911,0,55,31.83,41.62
358,60,103800.0,177,20.01,1.186,7,0.6236,0,75,86.41,78.32
359,40,105800.0,430,24.37,0.767,11,0.7046,1,35,57.57,99.49
360,52,66300.0,1072,29.58,0.728,26,0.6674,1,55,81.56,150.31
361,52,47100.0,188,20.84,0.957,6,0.2939,0,55,96.99,109.09
362,62,60100.0,49,13.79,0.612,1,0.3253,0,95,37.84,39.89
363,72,86700.0,31,31.16,0.968,1,0.4757,0,95,113.88,113.34
364,37,50600.0,867,19.54,0.761,22,0.5138,1,55,63.04,104.0
365,53,69600.0,1100,24.59,0.764,28,0.6927,0,55,74.07,69.94
