customer_id,age,income,tenure_days,avg_spend,purchase_frequency,total_transactions,true_propensity,treatment,true_uplift,baseline_spend,outcome,predicted_cate
146,48,61000.0,489,10.44,0.613,10,0.4602,1,55,34.5,96.88,54.718924257680925
147,45,62200.0,289,24.6,1.038,10,0.4064,0,55,117.28,117.95,55.38218860080255
148,53,59500.0,722,17.44,0.789,19,0.5234,0,55,45.29,53.91,55.14203371852578
149,73,77900.0,265,22.08,0.792,7,0.4943,0,55,83.05,85.98,54.1537576766997
150,58,78900.0,157,15.47,1.338,7,0.4669,1,95,79.86,190.53,94.7512279894381
151,52,72600.0,578,31.34,0.882,17,0.5589,0,55,110.73,99.71,53.3997004793811
152,37,57700.0,182,6.28,0.165,1,0.3491,0,55,17.74,13.9,55.65044576539455
153,27,43900.0,416,24.03,0.505,7,0.3382,1,55,45.26,81.07,53.906961836279734
154,47,86400.0,508,25.09,0.709,12,0.6199,1,55,68.96,120.99,53.93445210206718
155,54,72100.0,1100,11.29,0.791,29,0.7056,0,55,30.58,18.71,54.977854576613545
156,85,49600.0,832,27.62,0.901,25,0.4967,1,55,99.85,140.98,54.096193417791405
157,57,61300.0,54,21.76,1.111,2,0.3332,1,95,99.2,178.64,96.0583047771281
158,72,31800.0,39,2.98,4.615,6,0.1918,0,95,49.51,44.78,96.43726470130183
159,47,64100.0,667,17.5,0.675,15,0.5345,1,55,58.85,116.39,55.36120185548072
160,35,56800.0,188,21.19,0.479,3,0.3458,0,55,34.62,39.4,53.525727293958525
161,39,49700.0,7,26.02,4.286,1,0.2616,0,95,450.07,460.09,87.99901258424066
162,43,95900.0,442,22.34,0.611,9,0.6549,1,55,54.81,119.25,52.2751470108217
163,90,47700.0,593,3.92,0.911,18,0.4116,0,55,24.23,12.95,55.04058236869912
164,41,77000.0,75,28.85,0.4,1,0.4301,0,95,39.73,32.3,95.120640515849
165,69,113700.0,332,29.55,0.633,7,0.7194,1,35,79.4,116.33,45.658738734140435
166,40,84600.0,568,11.53,0.951,18,0.627,1,55,63.23,120.31,55.09083925340464
167,71,67500.0,88,21.84,0.341,1,0.3778,1,95,18.26,127.06,95.7997458124595
168,62,42600.0,49,18.63,2.449,4,0.2387,1,95,175.29,267.42,86.82084861315957
169,52,35800.0,99,13.75,2.727,9,0.2201,0,95,166.66,174.33,85.92796063726381
170,54,56200.0,471,14.29,0.764,12,0.4255,0,55,42.6,41.17,54.170799027623566
171,44,48400.0,11,14.21,5.0,4,0.2564,0,95,285.11,288.69,93.42515443821127
172,63,51500.0,311,16.1,1.447,15,0.3509,1,55,90.53,149.41,54.72223283281794
173,47,56500.0,199,20.25,0.905,6,0.3472,1,55,86.54,141.32,54.47758617210277
174,34,58700.0,271,22.75,0.775,7,0.3805,0,55,57.62,47.86,53.87196597693577
175,33,70800.0,70,9.88,1.714,4,0.3917,0,95,77.63,80.4,98.46122939163854
176,58,39600.0,175,17.22,1.371,8,0.2541,0,95,82.61,89.05,94.57027302105249
177,82,56100.0,249,20.85,0.723,6,0.3592,0,55,47.76,48.83,54.06330779304652
178,58,62200.0,16,20.18,1.875,1,0.3276,0,95,142.65,115.03,96.6269115635073
179,53,60500.0,34,17.05,5.0,6,0.3234,1,95,339.98,433.21,93.1908627255344
180,60,104600.0,1100,32.79,0.736,27,0.8421,1,35,90.82,132.6,51.00903258136484
181,77,74300.0,10,27.87,5.0,4,0.3944,0,95,551.21,541.41,96.8255709965286
182,59,31900.0,703,12.95,0.768,18,0.3523,1,55,32.36,98.02,55.4230225082092
183,48,72400.0,388,20.44,1.16,15,0.4988,1,55,87.56,136.43,54.52424073407802
184,74,80300.0,4,25.9,5.0,1,0.4284,0,95,510.54,507.34,93.90136398815385
185,62,63800.0,100,25.98,0.3,1,0.3601,1,95,33.05,130.12,95.02954684939048
186,81,44700.0,991,12.63,0.817,27,0.5161,1,55,36.19,81.97,54.520061538067296
187,58,102500.0,9,20.14,3.333,1,0.5656,1,75,247.18,331.3,85.96164116770436
188,34,38300.0,398,17.12,0.754,10,0.3034,0,55,51.34,63.98,54.09230113146126
189,32,74300.0,388,15.53,1.082,14,0.5105,1,55,73.21,117.21,54.123724223592
190,83,74800.0,670,11.5,0.493,11,0.5999,1,55,20.45,73.59,55.22364402586218
191,84,83400.0,459,18.41,0.85,13,0.5876,0,55,52.51,71.44,54.166856176119644
192,52,100200.0,524,27.12,0.973,17,0.7002,0,35,111.51,122.51,46.137727143183554
193,48,75400.0,243,29.08,0.741,6,0.4721,0,55,75.21,59.08,53.96285348593408
194,80,58300.0,204,15.2,0.294,2,0.3587,0,55,15.31,26.98,55.255437989555816
195,36,84400.0,386,22.04,0.699,9,0.5715,1,55,61.45,82.24,53.35671000906683
196,40,48700.0,177,18.08,0.339,2,0.2993,0,95,33.15,39.3,93.2226887940761
197,66,70600.0,246,17.35,0.732,6,0.4438,1,55,55.42,101.85,54.217954109636565
198,48,36400.0,332,11.82,0.633,7,0.2768,0,55,31.84,36.44,54.44589221820406
199,55,43300.0,133,18.17,0.451,2,0.2615,0,95,40.22,42.69,93.894821304646
200,52,65500.0,313,13.84,0.863,9,0.4334,0,55,38.51,39.85,54.52037447420696
201,61,73900.0,104,17.25,2.019,7,0.4203,1,95,151.95,252.81,95.5486481869754
202,79,34000.0,42,14.09,1.429,2,0.201,0,95,56.02,51.06,94.83249997245163
203,57,75800.0,144,22.98,1.667,8,0.444,0,95,164.65,158.66,95.08786127895235
204,66,50000.0,41,9.92,4.39,6,0.2713,0,95,167.47,176.77,94.0519411657893
205,20,84900.0,70,22.08,0.429,1,0.4767,1,95,40.93,135.99,94.532472261878
206,54,57400.0,691,12.16,0.781,18,0.5008,0,55,49.58,43.88,55.03975871741377
207,41,38600.0,278,12.37,0.647,6,0.2742,0,55,36.5,34.72,54.639695951099355
208,34,62400.0,16,23.3,1.875,1,0.3287,0,95,177.73,175.08,96.57989201475077
209,40,42800.0,1100,16.05,0.791,29,0.5382,1,55,57.71,109.25,54.65413565785841
210,49,90400.0,63,31.91,0.476,1,0.5083,0,95,48.92,53.35,94.87712468256231
211,71,68200.0,181,19.87,0.994,6,0.4095,0,55,68.36,59.66,56.16663027782479
212,32,57200.0,54,23.42,0.556,1,0.3112,1,95,54.26,164.46,95.04506292475556
213,56,77600.0,387,25.61,0.775,10,0.5304,0,55,77.81,80.05,53.70617057268178
214,47,42300.0,319,16.28,0.282,3,0.3034,0,55,15.86,0.0,55.821733415181406
215,49,36700.0,405,8.93,0.889,12,0.2969,0,55,41.66,44.41,54.33738320311597
216,72,77000.0,199,21.02,0.603,4,0.4683,0,55,59.91,50.61,53.51262357227485
217,64,43700.0,1100,13.89,0.709,26,0.5437,0,55,32.03,31.75,54.98566844358913
218,78,46500.0,1032,14.12,0.843,29,0.5398,0,55,51.15,49.63,54.50110990861837
219,52,82000.0,781,23.08,0.73,19,0.6727,1,55,54.88,116.66,53.746011946937024
220,43,73600.0,38,13.79,0.789,1,0.3987,1,95,30.81,132.48,95.81825287184132
221,51,37900.0,457,11.32,0.722,11,0.317,0,55,25.55,27.76,54.4858583395284
222,59,52800.0,1081,12.86,0.805,29,0.5928,1,55,40.99,115.08,54.648994242786316
223,58,46600.0,612,15.72,0.882,18,0.4108,0,55,50.24,42.99,54.52198777818617
224,37,98700.0,8,20.96,5.0,3,0.5422,1,95,422.81,531.47,93.56666648838997
225,57,84400.0,573,19.15,0.681,13,0.6273,1,55,52.04,120.98,54.79648770616208
226,59,57000.0,174,19.23,1.379,8,0.343,1,95,114.99,213.36,94.95447614910557
227,90,84100.0,341,20.39,0.528,6,0.5559,1,55,47.43,107.02,54.28570932675339
228,87,42900.0,93,16.46,0.323,1,0.2501,1,95,12.96,117.47,94.17547923558908
229,40,47900.0,8,11.61,3.75,1,0.2534,0,95,181.35,178.2,87.61580414020827
230,50,66200.0,5,15.79,5.0,3,0.3466,1,95,308.9,398.84,93.42729601906852
231,30,69500.0,266,30.63,0.338,3,0.4432,1,55,44.7,95.16,53.7664469944776
232,45,61000.0,19,15.66,4.737,3,0.322,1,95,292.79,390.71,90.5389196808823
233,60,71200.0,156,10.15,0.769,4,0.4199,1,95,41.81,132.12,98.10880339983791
234,75,70600.0,439,22.3,0.683,10,0.5036,0,55,66.77,59.55,54.450597243986245
235,43,59200.0,526,15.34,0.913,16,0.4606,1,55,50.48,95.12,54.55024933994643
236,44,56600.0,1100,19.71,0.682,25,0.6207,0,55,50.68,40.84,54.86678454445133
237,18,48600.0,654,16.84,1.055,23,0.4355,0,55,97.22,90.82,54.81468934258654
238,52,69300.0,105,23.14,0.571,2,0.3933,0,95,42.76,36.6,95.92113015859444
239,37,70000.0,479,20.0,0.752,12,0.5123,0,55,54.4,55.47,53.77256999854947
240,46,67400.0,354,18.98,1.102,13,0.4575,1,55,78.3,125.53,54.686599120158725
241,40,37200.0,204,21.32,0.882,6,0.2498,0,55,65.95,70.86,54.318992665729716
242,53,43600.0,692,5.45,0.91,21,0.417,1,55,11.41,86.08,54.729812704343814
243,25,67400.0,202,13.48,0.149,1,0.4111,1,55,7.16,74.66,55.19455050833274
244,30,90900.0,422,19.51,0.64,9,0.6207,1,55,53.76,98.15,53.71163762772442
245,90,75200.0,106,12.82,1.132,4,0.4287,0,95,45.3,42.31,95.05146708086743
246,33,52000.0,433,15.4,0.97,14,0.3892,0,55,55.74,43.03,55.16140707584001
247,36,65900.0,243,16.99,0.988,8,0.4145,0,55,60.71,62.66,55.66064515393136
248,86,47300.0,195,21.97,1.077,7,0.2968,0,55,85.28,87.81,54.60901142812554
249,90,99500.0,243,24.48,1.111,9,0.6181,0,55,116.76,118.5,48.55944141872071
250,35,64900.0,333,18.67,0.901,10,0.4359,1,55,61.17,105.67,54.192454699444056
251,49,49700.0,865,15.56,0.52,15,0.5076,0,55,21.41,14.91,55.09002247053531
252,61,62700.0,389,14.15,1.08,14,0.4397,1,55,68.17,132.73,54.707995572885785
253,84,59700.0,403,23.41,0.596,8,0.4259,0,55,65.82,69.79,54.80761930807553
254,38,89100.0,43,29.42,1.395,2,0.4941,1,95,166.06,252.38,94.73767640198902
255,51,60000.0,684,12.94,0.789,18,0.5146,0,55,33.31,20.47,54.95147446689676
256,68,70900.0,541,28.74,0.776,14,0.5371,0,55,86.99,86.26,54.52498071160415
257,62,78400.0,16,18.41,1.875,1,0.4206,0,95,132.83,131.61,95.66240509146779
258,49,48200.0,1100,13.47,0.6,22,0.571,0,55,31.93,19.07,54.91487894624909
259,53,68700.0,155,22.67,0.194,1,0.4047,0,95,23.32,20.24,95.46342715850783
260,32,66200.0,24,22.74,3.75,3,0.3519,0,95,340.9,336.05,84.93635612513656
261,51,31600.0,1100,14.38,0.627,23,0.4695,1,55,36.04,85.16,54.87324425879534
262,50,69300.0,104,18.66,0.288,1,0.393,1,95,17.39,108.11,95.58834532140547
263,59,64800.0,329,25.58,0.821,9,0.4341,0,55,89.32,92.07,54.108865934261615
264,46,65900.0,456,16.77,0.526,8,0.48,0,55,38.23,39.13,54.24791270246819
265,63,67300.0,136,19.75,0.441,2,0.3908,1,95,20.13,127.69,95.41787601779558
266,72,73800.0,730,29.54,0.74,18,0.6119,0,55,73.19,75.16,53.98902470272152
267,58,93700.0,420,17.37,0.786,11,0.6362,1,55,51.96,115.01,53.47982894924375
268,61,41400.0,396,13.92,0.53,7,0.3192,1,55,37.28,79.04,54.33377637203653
269,56,58000.0,386,23.83,0.777,10,0.4106,1,55,83.4,139.91,54.10909699310602
270,55,79000.0,313,24.49,0.863,9,0.516,1,55,90.64,141.92,53.74727825807847
271,43,72700.0,609,25.38,0.542,11,0.569,0,55,53.82,61.06,53.70170571214233
272,60,75600.0,79,14.73,1.139,3,0.4229,0,95,78.83,81.37,95.28066890521451
273,53,120000.0,241,29.61,0.498,4,0.7277,0,35,53.2,68.95,45.746525448198426
274,90,84900.0,221,21.31,0.814,6,0.5237,1,55,66.66,112.34,53.822853684816245
275,82,94100.0,249,35.48,0.964,8,0.5881,0,55,125.44,118.33,53.902784573568894
276,62,60000.0,542,23.05,0.72,13,0.4705,1,55,63.62,122.03,54.62090087562032
277,42,41500.0,429,16.11,0.909,13,0.3287,0,55,51.68,50.38,54.50215635377423
278,36,54600.0,272,19.62,0.993,9,0.3573,1,55,90.23,135.8,55.753094771136986
279,75,84000.0,331,22.87,0.997,11,0.5522,1,55,101.93,160.67,55.86153893620382
280,59,74300.0,577,24.64,0.832,16,0.5688,1,55,82.51,132.56,53.69883946188043
281,63,75100.0,983,16.98,0.855,28,0.6905,0,55,61.81,66.31,54.45738366721261
282,25,54500.0,115,25.0,1.043,4,0.3132,1,95,99.47,177.47,94.755247494271
283,71,60400.0,669,12.44,0.538,12,0.5124,0,55,6.48,3.54,55.98822301055352
284,63,62800.0,184,20.45,0.326,2,0.3787,1,55,20.57,77.14,54.884673522469754
285,36,76400.0,792,17.34,0.72,19,0.6448,1,55,55.92,112.62,54.21287109509613
286,47,81100.0,412,22.38,0.728,10,0.5595,1,55,68.68,130.67,53.578698464959245
287,59,44700.0,119,21.65,1.008,4,0.2648,1,95,84.16,176.71,94.43738586906235
288,56,81200.0,444,13.62,0.608,9,0.5699,0,55,39.04,43.52,54.06833323246602
289,50,50300.0,209,16.7,1.579,11,0.3162,0,55,101.71,101.02,54.83569370001308
290,53,74400.0,147,13.96,0.612,3,0.4364,0,95,25.04,32.37,94.9440867836205
291,51,60200.0,381,17.63,0.787,10,0.4222,1,55,61.42,101.04,54.13363651827534
292,58,98500.0,229,17.56,0.524,4,0.6081,1,55,31.91,60.87,49.30942056004008
293,80,61200.0,54,19.99,0.556,1,0.3327,1,95,52.67,160.21,95.56059970674406
294,18,61400.0,919,17.08,0.751,23,0.5952,1,55,35.33,84.64,54.383413820308384
295,51,76900.0,254,25.27,0.709,6,0.4848,1,55,67.11,105.08,53.1061599981586
296,58,47200.0,99,23.22,0.606,2,0.272,0,95,61.06,59.46,94.34516517222862
297,60,64500.0,116,19.73,2.069,8,0.3687,1,95,167.24,257.05,96.0954280748317
298,49,58200.0,237,23.2,0.759,6,0.3677,1,55,68.67,127.36,53.76687713696712
299,25,48200.0,1100,24.14,0.736,27,0.571,1,55,73.37,133.29,54.32571089897632
300,61,57000.0,354,13.94,0.932,11,0.3951,1,55,53.09,103.92,54.643878295517425
301,84,94200.0,12,31.3,2.5,1,0.5158,1,95,301.09,405.38,91.85243361739184
