gender,age,person,became_member_on,income,treatment,outcome,discount_attributed_spend,tenure_days,total_transactions,avg_spend,purchase_frequency,is_missing_demographics
M,64,cbebad9819494b479dbf0c1207b4c0c5,2017-03-05,70000.0,1,140.34,90.87,508,9.0,15.593333333333334,0.531,False
F,89,4264b1d027cc493281bba4f44bfedaca,2017-11-14,87000.0,1,248.63,248.63,254,9.0,27.625555555555554,1.063,False
M,73,0ba6e2ad781c4429afd26cf0b35f2d11,2018-04-01,51000.0,1,23.43,1.22,116,9.0,2.6033333333333335,2.328,False
F,50,b5abc1e85be84f43937b4fca0ad238cb,2017-05-06,93000.0,1,297.29,237.66,446,12.0,24.77416666666667,0.807,False
F,90,1c587de019994f93a242c6864fd7bc55,2015-12-10,98000.0,1,80.03,0.0,959,3.0,26.676666666666666,0.094,False
F,68,3f4e408b0b2d4ea89dd16d7437d867c1,2016-07-31,84000.0,1,34.04,0.0,725,2.0,17.02,0.083,False
M,60,13bda8fbd70a4814b956df1d55320398,2017-02-06,64000.0,0,44.14,0.0,535,12.0,3.6783333333333332,0.673,False
M,45,b19c8e7ac2ff40ae92b4fcf3247f8912,2017-08-15,54000.0,1,11.51,3.12,345,6.0,1.9183333333333332,0.522,False
M,66,21c73d53e2a74bb1b4dc172bff2b1aad,2016-01-24,49000.0,1,200.93,74.32,914,18.0,11.162777777777778,0.591,False
F,19,1abeb816d9fa49b4b5b5ae51bc3d24c3,2016-10-15,73000.0,1,202.75,78.0,649,11.0,18.431818181818183,0.508,False
F,66,92e07c49ee7448fca6e48df0c96e3eec,2018-02-16,58000.0,1,163.53,32.37,160,10.0,16.353,1.875,False
F,72,f8aedd0cbea0419c806842b4265b82e5,2016-08-11,72000.0,1,201.92,87.11,714,12.0,16.826666666666664,0.504,False
M,76,a9780228a1d04539afdee8b745e4be10,2016-04-07,63000.0,1,224.76,146.78,840,13.0,17.28923076923077,0.464,False
M,52,94f14dcfedba47e18b7efca13dd7574b,2017-05-15,78000.0,1,117.92,29.14,437,6.0,19.653333333333332,0.412,False
M,55,8a4bc602e4424ab6b16f0b907f2f22af,2017-12-10,31000.0,0,30.729999999999997,0.0,228,5.0,6.145999999999999,0.658,False
F,39,6d28f18e91324d358d69d1e4b01f1ace,2017-09-19,60000.0,1,705.5,19.11,310,12.0,58.791666666666664,1.161,False
F,45,52f0bd64403f4958ab8fe9a6947c13c3,2016-01-26,44000.0,1,163.71,112.97,912,16.0,10.231875,0.526,False
F,57,93e67942586e43fb87d5ffb1ead8db41,2017-07-04,114000.0,1,184.82,0.0,387,8.0,23.1025,0.62,False
M,74,e641af076cc54529bec6ab61fc25f4a6,2018-07-12,48000.0,1,6.86,0.0,14,3.0,2.2866666666666666,3.0,False
M,18,716a961d2afb4c1d8307522a8cbb4f07,2016-07-27,47000.0,1,275.61,223.54999999999998,729,22.0,12.527727272727274,0.905,False
M,53,13033baa9d294c3c9165a00d71b72614,2017-09-27,96000.0,1,138.84,80.01,302,5.0,27.768,0.497,False
F,59,15953663abf54181adf1fd4c39442b85,2017-09-10,98000.0,1,112.03999999999999,112.03999999999999,319,4.0,28.009999999999998,0.376,False
M,57,0ac5ffb0f1624297a453494b845e1a91,2014-11-04,46000.0,1,34.22,0.0,1360,10.0,3.4219999999999997,0.221,False
F,51,1a353048b0884fc5a0afa27677ef1e80,2017-08-13,56000.0,1,40.94,24.28,347,7.0,5.848571428571428,0.605,False
F,64,2cf5895bddf9467e878c6d51a622d5fb,2017-10-20,37000.0,1,51.37,11.83,279,7.0,7.338571428571428,0.753,False
M,71,6747dda08bed46298c23e05b64820a3a,2017-01-29,57000.0,1,30.14,0.0,543,12.0,2.5116666666666667,0.663,False
F,64,f35b342b24734da18a830bb9329a4fbd,2017-04-21,66000.0,1,50.349999999999994,17.439999999999998,461,4.0,12.587499999999999,0.26,False
M,83,4c29d22467af4d7faa137c4eedd65340,2018-01-27,46000.0,1,16.77,0.0,180,5.0,3.354,0.833,False
M,26,e997a086fc13446da2aa9070d98d191a,2017-12-11,71000.0,1,13.799999999999999,0.0,227,4.0,3.4499999999999997,0.529,False
F,29,17af917bb842480e925e49a8ca08c1f8,2018-03-21,58000.0,1,30.48,24.08,127,12.0,2.54,2.835,False
M,43,bf8d7498eb32431ab3fedaa14b7d3a0d,2017-09-15,70000.0,1,2.03,0.0,314,1.0,2.03,0.096,False
F,89,3dae0eadb47149b0b9b548d14548524b,2018-01-14,65000.0,1,124.82000000000001,37.84,193,7.0,17.83142857142857,1.088,False
F,49,5404741ead9442bdbd4b9aa2273e85af,2018-05-18,79000.0,1,24.93,0.0,69,2.0,12.465,0.87,False
M,79,81e9ad5fa55a4884b65e01a5db8f1b4e,2016-06-27,67000.0,0,317.03,0.0,759,18.0,17.612777777777776,0.711,False
F,55,b2f1cd155b864803ad8334cdf13c4bd2,2017-10-16,94000.0,1,195.35,52.650000000000006,283,8.0,24.41875,0.848,False
M,55,37a97f6e09784a07bbb67bc6539f1a00,2017-12-03,66000.0,0,272.23,0.0,235,19.0,14.327894736842106,2.426,False
M,45,77927096ab4144fa930b4cadd4773cc2,2017-10-07,31000.0,1,16.46,0.0,292,5.0,3.2920000000000003,0.514,False
M,52,acbc358a8bf44ba88d0de1f2bec5b2ab,2018-01-30,30000.0,1,9.799999999999999,0.0,177,5.0,1.9599999999999997,0.847,False
M,39,8ca29d07b300474786a6016fe76174dd,2016-04-04,55000.0,0,156.54,0.0,843,9.0,17.39333333333333,0.32,False
M,77,88baa20c29a94178a43a7d68e5f039d4,2018-07-02,69000.0,1,60.25,0.0,24,3.0,20.083333333333332,3.0,False
M,66,a2bd377c7ab74d93bbfd87f70043a9f8,2018-07-09,60000.0,1,30.9,10.27,17,6.0,5.1499999999999995,6.0,False
F,69,23f9e3baf42b43148fee9bbbc3530c7a,2017-09-27,87000.0,1,53.21,0.0,302,2.0,26.605,0.199,False
M,74,8486e692a5f94d179d507eaca848ecbd,2014-08-20,53000.0,1,55.129999999999995,21.72,1436,4.0,13.782499999999999,0.084,False
F,75,49f22e86d2db41878778d70958dc744e,2018-07-12,87000.0,1,114.7,97.36,14,5.0,22.94,5.0,False
F,59,28de174a5c854dd1be3187dc6edae45b,2015-09-09,85000.0,1,193.10000000000002,120.29,1051,7.0,27.58571428571429,0.2,False
M,47,a1eb338ccbca4cc88c9366939f16d819,2013-12-30,66000.0,1,74.17,15.56,1669,5.0,14.834,0.09,False
M,20,220a39cdfd6b41268c43a2e588fcb7e0,2018-05-28,69000.0,1,0.87,0.0,59,1.0,0.87,0.508,False
M,60,0c89378f14804b42b6e63e4dc26e8d3e,2017-04-26,108000.0,1,127.28,79.07,456,4.0,31.82,0.263,False
M,65,464d2302b99b46ad8eb3e42e1b849c24,2018-03-15,61000.0,1,24.000000000000004,22.630000000000003,133,6.0,4.000000000000001,1.353,False
M,33,3f36bc1d5fc0499b9f96f62348f0f9b0,2015-04-21,43000.0,1,19.78,10.5,1192,8.0,2.4725,0.201,False
F,39,fe97aa22dd3e48c8b143116a8403dd52,2017-12-17,67000.0,1,562.77,44.849999999999994,221,11.0,51.16090909090909,1.493,False
M,49,dbca75f289544e09836322ba2e104854,2018-06-02,59000.0,1,38.26,0.0,54,6.0,6.376666666666666,3.333,False
M,68,c863af14b3654499b1caea5e640136d2,2018-02-07,58000.0,1,17.19,8.8,169,2.0,8.595,0.355,False
M,42,d7dc31e069124ef49e1bb937cb89f41c,2017-02-09,80000.0,0,53.74,0.0,532,3.0,17.913333333333334,0.169,False
M,72,1827da57bb924833a6f73c79b5f2bbc5,2018-06-01,33000.0,1,8.14,0.0,55,5.0,1.6280000000000001,2.727,False
F,18,721eb06ac285463aa6e1184e0ea9b7f0,2017-05-24,49000.0,1,30.47,16.21,428,10.0,3.0469999999999997,0.701,False
F,32,d594b1f288674594a02c8527e5837ade,2018-06-28,42000.0,0,71.19,0.0,28,7.0,10.17,7.0,False
M,67,0f54094029ca4107bfd36203aeb3ed14,2017-08-28,50000.0,1,33.07,19.33,332,3.0,11.023333333333333,0.271,False
M,52,5f18c5754dc04baaa1267c823f877a85,2018-07-04,42000.0,1,5.4,1.43,22,3.0,1.8,3.0,False
M,38,d8567f1400d8486cb31c6abba64389ec,2017-10-19,64000.0,0,150.94,0.0,280,9.0,16.77111111111111,0.964,False
F,60,30fae86966114f6e83c3043b22b6b7c4,2018-03-16,77000.0,1,106.91000000000001,60.17,132,5.0,21.382,1.136,False
F,62,fd700397b7c8440baa70d5539926c5a0,2017-12-22,77000.0,1,33.46,0.0,216,2.0,16.73,0.278,False
F,55,4293153650e04742b310ac06cd3810e9,2018-07-08,51000.0,1,25.9,0.0,18,2.0,12.95,2.0,False
M,22,2ce2e03319c7446ca9c379b4589da19b,2018-04-28,63000.0,1,19.8,6.47,89,6.0,3.3000000000000003,2.022,False
M,34,4d15a2a5ac134c58971b910b859bec24,2017-12-06,41000.0,1,118.41,69.17,232,11.0,10.764545454545454,1.422,False
M,46,127cd9d95e6247e5b92bff64d6205a94,2014-12-14,60000.0,1,105.58,42.88,1320,26.0,4.060769230769231,0.591,False
M,85,4e233f02eff840c7a3e5ec15d55d7d23,2018-07-26,67000.0,1,22.18,17.509999999999998,0,5.0,4.436,5.0,False
F,51,3ecb372184104ff7bad0f0f60cb56e29,2017-03-16,85000.0,1,180.0,52.41,497,8.0,22.5,0.483,False
F,53,8a37057f57c4495fb98dfcc8b909b09f,2016-04-27,85000.0,1,177.09,75.16,820,8.0,22.13625,0.293,False
M,51,11da2f066d3943699d10b61fd276fd1a,2016-08-10,92000.0,1,330.92,147.48,715,15.0,22.061333333333334,0.629,False
M,48,21b02228cd4441b49bf0b5ff046f4b75,2015-06-01,44000.0,1,58.18,23.79,1151,18.0,3.232222222222222,0.469,False
M,52,629fc02d56414d91bca360decdfa9288,2018-06-05,72000.0,1,66.05,32.15,51,3.0,22.016666666666666,1.765,False
M,62,c87b50fcdd4a4d2faacff6112243a8dd,2016-03-05,53000.0,1,125.56,0.0,873,10.0,12.556000000000001,0.344,False
M,42,91dc71c4e9bd45b0861825c32f5ee8f9,2018-03-25,62000.0,1,12.120000000000001,8.75,123,4.0,3.0300000000000002,0.976,False
M,55,3bd5ba038a5c46cc94e8cd5e5739c967,2017-10-25,65000.0,0,16.69,0.0,274,7.0,2.3842857142857143,0.766,False
F,27,92214286965d4eb1ad14dc8b0b04a20f,2015-09-15,50000.0,0,89.78,0.0,1045,8.0,11.2225,0.23,False
M,68,37155a5f4ff248529399c95472186879,2018-05-30,107000.0,1,253.72,78.25,57,8.0,31.715,4.211,False
F,74,c84fe4915ef74c7f9e81b003d3ecf54c,2017-12-20,83000.0,0,25.69,0.0,218,1.0,25.69,0.138,False
M,77,041fd7c6b796430a867c4e03d2ff8f4d,2014-10-11,66000.0,1,87.13,84.02,1384,26.0,3.351153846153846,0.564,False
M,35,9e91e04b9a344f4e948728bf127967b6,2018-01-18,72000.0,1,261.56,0.0,189,14.0,18.68285714285714,2.222,False
F,50,348bdc19d65f49b8b98f72c59e64cd89,2017-11-08,69000.0,1,184.96,56.22,260,10.0,18.496000000000002,1.154,False
M,45,c74beaa959a742309ba8350b7d472676,2015-10-27,94000.0,1,162.91,30.58,1003,6.0,27.151666666666667,0.179,False
M,82,c79da41557894c7eacc5c0156dc1f4dc,2016-12-31,87000.0,0,155.64,0.0,572,8.0,19.455,0.42,False
M,40,8cc1a1bd309842bfaafd4483d994579b,2013-12-22,57000.0,1,79.94999999999999,18.45,1677,4.0,19.987499999999997,0.072,False
M,66,83e2ccc1d4374c14865e8e2cf16007dd,2018-06-17,34000.0,0,10.6,0.0,39,4.0,2.65,3.077,False
M,52,17c803219d1348d4a016691c947de0ed,2018-04-11,63000.0,1,6.18,3.01,106,2.0,3.09,0.566,False
F,57,791ffe6d3dc848d2b233129a8096f7ab,2016-03-29,89000.0,1,226.68,161.14,849,9.0,25.186666666666667,0.318,False
M,68,2204f8ff966f48db90246bd7b5918a7f,2016-06-29,69000.0,1,143.03,96.41,757,9.0,15.892222222222223,0.357,False
M,21,0b9cac742f534951b5af48395dfe6879,2018-03-03,52000.0,1,13.98,0.0,145,5.0,2.7960000000000003,1.034,False
M,61,b818e955451b47db9fc8767fa45e464e,2017-08-15,44000.0,1,17.7,12.7,345,8.0,2.2125,0.696,False
F,58,a9ecb39d93d74696a9d6ddd5355329ff,2018-03-17,54000.0,1,21.5,9.13,131,6.0,3.5833333333333335,1.374,False
F,67,0d18c37c8b58459f8aa6af2f7b541357,2018-06-14,54000.0,1,17.38,8.41,42,7.0,2.4828571428571427,5.0,False
M,24,d250372c924747d8ac9a8fa88f584bc3,2017-02-12,61000.0,1,155.42000000000002,0.0,529,10.0,15.542000000000002,0.567,False
M,26,3cea9c09fefb4c33ae2f0aa604af7eb4,2017-11-17,35000.0,1,10.1,9.24,251,4.0,2.525,0.478,False
F,71,87efa556dd48400cb4231a273e088bcf,2017-12-07,105000.0,1,212.27,97.25,231,9.0,23.58555555555556,1.169,False
F,69,4e4c47b460b1414c8ddd459b61f84b9e,2017-12-12,64000.0,1,146.49,36.94,226,9.0,16.276666666666667,1.195,False
M,81,accec36a10704e1fbaeb9b28b8bc5da8,2018-05-03,93000.0,1,0.0,0.0,84,0.0,0.0,0.0,False
M,62,d1a6fe4c241e4dbf8a4da6fd6c714ac5,2016-04-05,73000.0,0,232.19,0.0,842,11.0,21.10818181818182,0.392,False
M,38,1eed89c11cc749a4bb93d8cef032821d,2017-07-09,74000.0,1,796.77,681.87,382,8.0,99.59625,0.628,False
M,61,3f279ee9fd0d4195b0b9574ce0ae6923,2017-09-26,82000.0,1,62.650000000000006,0.0,303,3.0,20.883333333333336,0.297,False
F,52,2d40e25b82b94b37bbad2332e90a1034,2017-08-09,92000.0,1,23.59,0.0,351,1.0,23.59,0.085,False
M,50,9df2790f060d430e94f17189042e5671,2017-12-25,70000.0,1,218.67,45.93,213,10.0,21.866999999999997,1.408,False
M,54,ae47fbe72b274838a2093c3e91bc03dc,2017-02-16,118000.0,0,185.60999999999999,0.0,525,7.0,26.515714285714285,0.4,False
F,75,018b8f83176d471db63d9733c741fc8a,2018-05-02,109000.0,0,37.04,0.0,85,2.0,18.52,0.706,False
M,82,d2e88e95c0ae41c0980e4cfc10d162d8,2018-03-19,73000.0,1,36.3,12.06,129,8.0,4.5375,1.86,False
M,64,aa4a681ea192401ab469b616f8fe6885,2018-07-20,38000.0,1,10.54,4.37,6,5.0,2.1079999999999997,5.0,False
F,54,ae40f2f496e84ed29e7638b0bccee9a4,2015-10-06,99000.0,1,163.18,23.38,1024,7.0,23.31142857142857,0.205,False
M,82,5a3d291f75984396b6eb2800206ec716,2018-01-08,72000.0,1,16.430000000000003,3.2800000000000002,199,3.0,5.4766666666666675,0.452,False
M,90,bf2c086d4c4049289df1e0c8ea08f55c,2018-05-09,45000.0,1,10.76,5.71,78,5.0,2.152,1.923,False
F,34,5b9c1a35c0144b6ab584e666dec7c531,2018-04-17,67000.0,1,19.060000000000002,5.43,100,7.0,2.7228571428571433,2.1,False
M,44,ad3c443c9ce34aa38929b0a84cb14c04,2018-07-18,53000.0,0,69.32000000000001,0.0,8,6.0,11.553333333333335,6.0,False
F,79,688e4f2487d44ad8bbcc0f96936f42d6,2018-07-11,106000.0,1,0.0,0.0,15,0.0,0.0,0.0,False
F,58,73c157a4b8e342fcb5d8479d8cb41e81,2016-12-31,95000.0,1,321.03,0.0,572,11.0,29.184545454545454,0.577,False
F,47,e737ff591120415581ddbe817b8c82ca,2016-01-05,74000.0,0,254.69,0.0,933,14.0,18.19214285714286,0.45,False
F,60,9cb34ff9de694c578154da3efc9915db,2017-11-17,59000.0,1,24.6,0.0,251,7.0,3.5142857142857147,0.837,False
M,83,32189735a963491082e35dd4c3221690,2017-08-07,54000.0,1,164.79,41.519999999999996,353,13.0,12.676153846153845,1.105,False
F,74,4e5923e5deab4d5cb1624a0b1cc9909c,2018-05-17,103000.0,1,0.0,0.0,70,0.0,0.0,0.0,False
M,89,2c5c71b7bfaa4e3e8088fc177e6e559b,2015-09-17,101000.0,1,160.52,30.43,1043,5.0,32.104,0.144,False
M,68,307245a5204947e5a9f952daffcad5f2,2016-03-05,62000.0,1,142.3,125.46000000000001,873,9.0,15.811111111111112,0.309,False
F,63,eb834c09384149e88983526893d4d0cb,2017-11-27,110000.0,1,102.67,67.11,241,5.0,20.534,0.622,False
F,40,f93884685d214230bbc7c5f46aef121f,2018-07-06,51000.0,1,72.2,12.74,20,5.0,14.440000000000001,5.0,False
F,79,341276cb09ac42ad8473be091b52b082,2017-12-17,99000.0,1,161.85,59.5,221,7.0,23.12142857142857,0.95,False
M,71,18174519037241e9b1ddcb627ca4dc41,2018-03-21,30000.0,1,12.49,0.0,127,5.0,2.498,1.181,False
F,76,978d48db5c714a4490d904412f85b502,2015-09-06,114000.0,1,183.18,26.36,1054,7.0,26.16857142857143,0.199,False
M,89,2f442d5255324bbd9438b8a213544532,2016-05-28,96000.0,1,140.53,71.14,789,6.0,23.421666666666667,0.228,False
M,63,044f41cfd98940119477d73c81f973a3,2017-07-29,36000.0,1,12.16,8.84,362,6.0,2.026666666666667,0.497,False
M,41,031387fa9cfd47e88f4e4b4b4cb71925,2017-09-22,83000.0,1,0.0,0.0,307,0.0,0.0,0.0,False
F,71,8c410d84af08408fb41f953c93ffac27,2018-04-08,56000.0,1,164.16,30.61,109,10.0,16.416,2.752,False
M,44,09e7e40eb89943458f4f79fe2e023dd6,2017-10-11,36000.0,1,21.560000000000002,12.629999999999999,288,6.0,3.5933333333333337,0.625,False
M,25,97b2476046874de3975e8feee95a1f98,2016-04-06,73000.0,1,69.87,46.33,841,10.0,6.987,0.357,False
